score_1;score_2;protein_name_1;protein_name_2;comments
0.142;0.0421;A2VDJ0;P01903;
0.226;0.222;O15455;P01903;
1.0;0.0;O43561;P01903;
0.183;0.141;P01892;P01903;
0.142;0.0424;A2VDJ0;P54709;
0.142;0.042;O60462;P54709;
0.142;0.0414;O75915;P54709;
0.142;0.0428;O95754;P54709;
1.0;0.0;P05023;P54709;
1.0;0.0;P05026;P54709;
0.155;0.0765;P07550;P54709;
0.141;0.0406;P10321;P54709;
1.0;0.0699;P13637;P54709;
1.0;0.0;P14415;P54709;
0.151;0.0677;P14672;P54709;
0.162;0.0947;P17302;P54709;
1.0;0.0;P50993;P54709;
0.142;0.043;A2VDJ0;Q6UX41;
0.142;0.0423;O15031;Q6UX41;
0.142;0.042;O60291;Q6UX41;
0.142;0.0431;O75882;Q6UX41;
0.142;0.0428;P48167;Q6UX41;
0.142;0.0419;P48357;Q6UX41;
0.142;0.0424;P55082;Q6UX41;
0.142;0.0425;Q13308;Q6UX41;
0.163;0.0956;P04155;Q6UX41;
0.142;0.0433;Q5JS37;Q6UX41;
0.142;0.0427;A2VDJ0;Q9UGM1;
1.0;0.0;P36544;Q9UGM1;
0.141;0.0408;Q07065;Q9UGM1;
0.142;0.0417;Q14244;Q9UGM1;
0.142;0.042;Q8NC67;Q9UGM1;
0.142;0.0427;Q8WVV5;Q9UGM1;
0.142;0.0418;Q9BVT8;Q9UGM1;
0.142;0.0424;Q9NYQ6;Q9UGM1;
0.142;0.0433;Q8NDZ4;Q9UGM1;
0.142;0.0432;A4D1S0;P20036;
1.0;0.0;O43561;P20036;
1.0;0.0;P01903;P20036;
1.0;0.0;P01906;P20036;
1.0;0.0;P01909;P20036;
1.0;0.0;P01911;P20036;
1.0;0.0;P01912;P20036;
1.0;0.0;P01920;P20036;
1.0;0.0;P04229;P20036;
1.0;0.49700000000000005;P04233;P20036;
1.0;0.0;P04234;P20036;
0.141;0.0404;P04439;P20036;
1.0;0.0998;P04440;P20036;
1.0;0.0;P05538;P20036;
1.0;0.0;P06239;P20036;
1.0;0.0;P06340;P20036;
1.0;0.0;P13760;P20036;
1.0;0.0;P13761;P20036;
1.0;0.0;P13762;P20036;
1.0;0.0;P13765;P20036;
0.142;0.042;O00391;P20036;
0.141;0.0401;P02649;P20036;
1.0;0.0;P07339;P20036;
0.141;0.0398;P10909;P20036;
0.639;0.623;A4D2P6;O43424;
0.305;0.33799999999999997;A4D2P6;P12931;
0.423;0.46399999999999997;O00206;P12931;
0.15;0.0639;O00254;P12931;
1.0;0.0;O00451;P12931;
0.263;0.28;O14788;P12931;
1.0;0.0;O14944;P12931;
0.38799999999999996;0.431;O15162;P12931;
0.36700000000000005;0.409;O15455;P12931;
1.0;0.0;O43597;P12931;
1.0;0.0;O43921;P12931;
1.0;0.0;O60609;P12931;
0.19899999999999998;0.174;O60610;P12931;
0.166;0.10400000000000001;O60716;P12931;
0.15;0.0639;O75051;P12931;
0.371;0.414;O95297;P12931;
0.36200000000000004;0.40399999999999997;O95786;P12931;
1.0;0.76;P03372;P12931;
0.14400000000000002;0.0469;P04629;P12931;
0.258;0.273;P05023;P12931;
1.0;0.43200000000000005;P06239;P12931;
1.0;0.46299999999999997;P06241;P12931;
1.0;0.626;P06733;P12931;
1.0;0.7440000000000001;P07333;P12931;
0.581;0.5870000000000001;P07550;P12931;
1.0;0.617;P07900;P12931;
1.0;0.391;P07947;P12931;
1.0;0.574;P07948;P12931;
1.0;0.638;P07949;P12931;
0.37799999999999995;0.42;P08034;P12931;
1.0;0.659;P08581;P12931;
0.366;0.408;P08631;P12931;
0.37;0.41200000000000003;P08962;P12931;
0.17600000000000002;0.126;P09603;P12931;
0.391;0.434;P09848;P12931;
1.0;0.528;P10721;P12931;
1.0;0.0;P10747;P12931;
0.184;0.14300000000000002;P11274;P12931;
0.221;0.213;P11362;P12931;
0.354;0.395;P12814;P12931;
0.49700000000000005;0.526;P12830;P12931;
0.354;0.395;O00560;P12931;
1.0;0.0;O60542;P12931;
0.151;0.0673;O95157;P12931;
1.0;0.0;O95631;P12931;
1.0;0.0;P01127;P12931;
1.0;0.0;P02671;P12931;
1.0;0.0;P02675;P12931;
1.0;0.0;P02679;P12931;
1.0;0.0;P02751;P12931;
1.0;0.0;P04085;P12931;
1.0;0.0;P04275;P12931;
0.20199999999999999;0.17800000000000002;P05814;P12931;
0.165;0.0998;P06396;P12931;
0.14;0.0379;P06744;P12931;
0.146;0.0529;A5PKW4;P23416;
0.141;0.0411;P02787;P23416;
0.385;0.428;O60291;Q9UKV5;
0.22;0.21100000000000002;P04234;Q9UKV5;
0.14400000000000002;0.0486;P04629;Q9UKV5;
0.155;0.0763;P07550;Q9UKV5;
0.231;0.23;P13569;Q9UKV5;
0.168;0.107;P25100;Q9UKV5;
0.381;0.423;P27701;Q9UKV5;
0.254;0.267;Q01453;Q9UKV5;
0.17300000000000001;0.12;Q14643;Q9UKV5;
0.177;0.129;Q9BVT8;Q9UKV5;
0.18100000000000002;0.136;P06744;Q9UKV5;
0.27899999999999997;0.303;Q8TER0;Q9UKV5;
0.153;0.0711;A6BM72;Q01844;
0.152;0.068;O00299;Q01844;
0.152;0.0681;O15162;Q01844;
0.152;0.0694;P00918;Q01844;
0.146;0.0546;P03372;Q01844;
0.14300000000000002;0.0466;P04629;Q01844;
0.145;0.0502;P06731;Q01844;
0.15;0.065;P08865;Q01844;
0.151;0.0673;P11279;Q01844;
0.151;0.0667;P11717;Q01844;
0.152;0.0703;P12821;Q01844;
0.151;0.0672;P13473;Q01844;
0.14400000000000002;0.0472;P19320;Q01844;
0.15;0.0651;P21796;Q01844;
0.145;0.0512;P23276;Q01844;
0.145;0.0503;P43005;Q01844;
0.152;0.0699;P49006;Q01844;
0.14300000000000002;0.0457;P49841;Q01844;
0.151;0.0673;P54709;Q01844;
0.15;0.0637;P63165;Q01844;
0.145;0.0501;P78310;Q01844;
0.145;0.0512;O00295;Q01844;
0.151;0.066;O00560;Q01844;
0.14400000000000002;0.0469;P01019;Q01844;
0.14400000000000002;0.0471;P02751;Q01844;
0.152;0.0696;P05997;Q01844;
0.152;0.0686;P06702;Q01844;
0.151;0.0671;P09429;Q01844;
0.151;0.0661;P10599;Q01844;
0.145;0.0502;P11597;Q01844;
0.145;0.05;P16860;Q01844;
0.151;0.0659;P27797;Q01844;
0.151;0.0673;P55081;Q01844;
0.15;0.0652;P62937;Q01844;
0.348;0.38799999999999996;P67809;Q01844;
0.865;0.74;A6ND01;Q8IYV9;
0.142;0.0441;A6NFQ2;P26842;
0.142;0.0423;O60503;P26842;
0.39899999999999997;0.441;P06127;P26842;
0.141;0.0409;P13987;P26842;
0.142;0.0428;P04279;P26842;
0.142;0.0436;A6NFQ2;Q9Y279;
0.142;0.0422;O94910;Q9Y279;
0.142;0.0438;P05067;Q9Y279;
0.142;0.0417;P35916;Q9Y279;
0.142;0.0426;P52569;Q9Y279;
0.141;0.040999999999999995;Q01814;Q9Y279;
0.142;0.0426;Q8NCG7;Q9Y279;
0.142;0.0422;Q9C0C4;Q9Y279;
0.142;0.0426;Q9HC56;Q9Y279;
0.142;0.0428;Q9NRR3;Q9Y279;
0.141;0.0414;Q9UBH6;Q9Y279;
0.37200000000000005;0.414;P01024;Q9Y279;
1.0;0.747;O00213;P05067;
1.0;0.0;O00222;P05067;
1.0;0.0;O00254;P05067;
1.0;0.0;O00398;P05067;
1.0;0.0;O00574;P05067;
0.14300000000000002;0.045;O14713;P05067;
0.142;0.0436;O14735;P05067;
1.0;0.0;O14842;P05067;
1.0;0.0;O14843;P05067;
0.142;0.043;O15162;P05067;
1.0;0.0;O15303;P05067;
0.14300000000000002;0.0457;O15547;P05067;
0.14300000000000002;0.0454;O15551;P05067;
1.0;0.0;O15552;P05067;
1.0;0.0;O43193;P05067;
0.155;0.0756;O43491;P05067;
0.14300000000000002;0.0452;O43557;P05067;
0.14300000000000002;0.0449;O43566;P05067;
1.0;0.0;O43603;P05067;
1.0;0.0;O43613;P05067;
1.0;0.0;O43614;P05067;
0.14400000000000002;0.0474;O60330;P05067;
0.154;0.0746;O60716;P05067;
1.0;0.0;O60755;P05067;
0.365;0.40700000000000003;O75509;P05067;
0.14300000000000002;0.0448;O94768;P05067;
0.239;0.244;O94856;P05067;
0.14400000000000002;0.0474;O94956;P05067;
1.0;0.27;O94985;P05067;
1.0;0.0;O95136;P05067;
0.14300000000000002;0.0463;O95164;P05067;
1.0;0.0;O95665;P05067;
0.14400000000000002;0.0474;O95976;P05067;
1.0;0.0;O95977;P05067;
0.165;0.102;P01375;P05067;
1.0;0.747;P04156;P05067;
0.174;0.121;P04216;P05067;
0.142;0.0436;P04233;P05067;
0.14300000000000002;0.0463;A1E959;P05067;
0.14300000000000002;0.0463;C9J442;P05067;
1.0;0.0;O00230;P05067;
0.14300000000000002;0.0461;O00515;P05067;
1.0;0.0;O00585;P05067;
1.0;0.0;O14625;P05067;
0.14300000000000002;0.0448;O14793;P05067;
1.0;0.0;O15130;P05067;
1.0;0.0;O15444;P05067;
1.0;0.0;O15467;P05067;
0.14300000000000002;0.0442;O43320;P05067;
1.0;0.0706;O43555;P05067;
0.14400000000000002;0.0474;O43827;P05067;
0.172;0.11699999999999999;O43852;P05067;
0.14300000000000002;0.0446;O43897;P05067;
1.0;0.0;O43927;P05067;
0.14300000000000002;0.0442;O95084;P05067;
1.0;0.0;O95399;P05067;
0.14300000000000002;0.0461;O95715;P05067;
0.14300000000000002;0.0445;O95994;P05067;
1.0;0.0;P00734;P05067;
1.0;0.0;P01019;P05067;
0.149;0.0604;P01023;P05067;
1.0;0.0;P01024;P05067;
1.0;0.0;P01031;P05067;
0.175;0.124;P01034;P05067;
1.0;0.0;P01042;P05067;
0.598;0.598;P01137;P05067;
1.0;0.0;P01148;P05067;
1.0;0.0;P01178;P05067;
1.0;0.0;P01185;P05067;
1.0;0.063;P01189;P05067;
1.0;0.0;P01210;P05067;
1.0;0.0662;P01213;P05067;
1.0;0.0;P01275;P05067;
1.0;0.0;P01298;P05067;
1.0;0.0;P01303;P05067;
0.142;0.0435;P01308;P05067;
1.0;0.0;P01350;P05067;
0.14300000000000002;0.0443;P01569;P05067;
0.14300000000000002;0.0442;P01584;P05067;
0.368;0.41;P02647;P05067;
0.5870000000000001;0.59;P02649;P05067;
0.354;0.395;P02766;P05067;
0.142;0.0426;P02768;P05067;
1.0;0.0;P02775;P05067;
1.0;0.0;P02776;P05067;
1.0;0.0;P02778;P05067;
0.36700000000000005;0.409;P03951;P05067;
0.142;0.0436;P04004;P05067;
1.0;0.0;P04083;P05067;
0.14300000000000002;0.0461;P05000;P05067;
0.14300000000000002;0.0445;P05015;P05067;
0.14300000000000002;0.0442;P05060;P05067;
0.142;0.0419;A8MVW5;O14763;
1.0;0.33899999999999997;O00220;O14763;
0.142;0.0422;A8MVW5;P10586;
0.141;0.0414;O60939;P10586;
0.145;0.0497;P04629;P10586;
0.371;0.413;P06241;P10586;
0.385;0.42700000000000005;P07949;P10586;
0.141;0.0412;A8MVW5;P11362;
0.141;0.0408;O14763;P11362;
0.193;0.162;O14786;P11362;
1.0;0.0;O43155;P11362;
0.147;0.0553;P07900;P11362;
1.0;0.0;P11274;P11362;
1.0;0.0;O15520;P11362;
1.0;0.0;O60258;P11362;
0.4;0.442;O95750;P11362;
1.0;0.8490000000000001;P05230;P11362;
1.0;0.0;P08620;P11362;
1.0;0.853;P09038;P11362;
1.0;0.0;P10767;P11362;
0.142;0.0426;A8MVW5;P55082;
0.142;0.0422;O14763;P55082;
0.141;0.0407;P43115;P55082;
0.142;0.0417;O00182;P55082;
1.0;0.0;O95967;P55082;
0.141;0.0413;P17931;P55082;
1.0;0.0;P23142;P55082;
1.0;0.0;P55001;P55082;
0.142;0.0421;A8MVW5;Q13332;
0.18100000000000002;0.13699999999999998;O43424;Q13332;
0.141;0.0406;P01375;Q13332;
0.14400000000000002;0.0494;P04629;Q13332;
0.141;0.0408;P20036;Q13332;
0.22;0.21100000000000002;P23468;Q13332;
0.142;0.042;P08254;Q13332;
0.145;0.0506;P21246;Q13332;
0.142;0.0435;A8MVW5;Q7Z4F1;
0.142;0.0425;Q6P5W5;Q7Z4F1;
0.142;0.0436;A8MVW5;Q8NFZ8;
0.2;0.174;Q8N126;Q8NFZ8;
0.142;0.0433;A8MVW5;Q969Z4;
0.142;0.0433;A8MVW5;Q9NPF0;
1.0;0.0;P20062;Q9NPF0;
0.142;0.0416;A8MVW5;P09382;
0.142;0.0418;O14944;P09382;
0.141;0.0396;O75787;P09382;
0.392;0.435;P06729;P09382;
0.142;0.0424;A8MVW5;Q9BT67;
0.142;0.0422;O14763;Q9BT67;
0.141;0.0412;P43088;Q9BT67;
1.0;0.772;Q96J02;Q9BT67;
0.638;0.622;P49281;Q9BT67;
0.355;0.396;D3W0D1;Q6UVW9;
0.145;0.0506;O00141;P01833;
0.147;0.0556;O00141;P07900;
0.142;0.0439;O14735;P07900;
1.0;0.0;O14944;P07900;
0.16;0.0886;O43280;P07900;
0.16399999999999998;0.0991;O43597;P07900;
0.141;0.0391;P00505;P07900;
0.155;0.0757;P01903;P07900;
0.155;0.076;P01911;P07900;
0.155;0.0761;P01912;P07900;
1.0;0.6509999999999999;P03372;P07900;
0.18899999999999997;0.152;P04156;P07900;
0.23399999999999999;0.23600000000000002;P04629;P07900;
0.196;0.168;P05067;P07900;
0.175;0.12300000000000001;P06239;P07900;
0.174;0.121;P06241;P07900;
0.153;0.0723;P06733;P07900;
0.147;0.057;P07333;P07900;
0.141;0.0388;O60218;P07900;
0.14300000000000002;0.0466;P02751;P07900;
0.165;0.10099999999999999;P04628;P07900;
0.165;0.102;P05161;P07900;
0.155;0.0776;P06744;P07900;
0.14400000000000002;0.0493;O00141;P25942;
0.16899999999999998;0.109;O14836;P25942;
0.391;0.433;P11836;P25942;
0.226;0.223;P22681;P25942;
0.14400000000000002;0.0484;P10599;P25942;
0.192;0.16;O00141;P35222;
1.0;0.7709999999999999;O15169;P35222;
1.0;0.321;O60716;P35222;
1.0;0.365;O75197;P35222;
0.184;0.14400000000000002;O75473;P35222;
1.0;0.36700000000000005;O75581;P35222;
0.217;0.207;P03372;P35222;
0.14400000000000002;0.0471;P04629;P35222;
0.142;0.0419;P05067;P35222;
0.177;0.127;P06241;P35222;
0.209;0.191;P07947;P35222;
0.17300000000000001;0.11900000000000001;P08581;P35222;
0.162;0.0931;P08865;P35222;
0.17300000000000001;0.11800000000000001;P0C2W1;P35222;
0.7;0.6579999999999999;P10586;P35222;
0.161;0.0909;P11142;P35222;
0.386;0.429;P11362;P35222;
1.0;0.802;P12830;P35222;
0.289;0.316;P12931;P35222;
0.14300000000000002;0.0464;P13637;P35222;
0.15;0.0652;P14672;P35222;
0.17600000000000002;0.126;P15924;P35222;
1.0;0.308;P15941;P35222;
0.355;0.397;P17302;P35222;
1.0;0.825;P19022;P35222;
1.0;0.289;P22223;P35222;
0.579;0.585;P22681;P35222;
0.213;0.19899999999999998;P23471;P35222;
1.0;0.7909999999999999;P25054;P35222;
0.16699999999999998;0.105;P25445;P35222;
0.156;0.0796;P27701;P35222;
0.36200000000000004;0.40399999999999997;P29317;P35222;
0.365;0.40700000000000003;P29474;P35222;
1.0;0.8220000000000001;P33151;P35222;
0.14400000000000002;0.0474;O00182;P35222;
0.14300000000000002;0.0454;O00634;P35222;
0.321;0.358;O94907;P35222;
0.14300000000000002;0.0453;O95631;P35222;
0.18100000000000002;0.136;P04155;P35222;
0.195;0.165;P05161;P35222;
0.156;0.0795;P07288;P35222;
0.14400000000000002;0.0471;P07942;P35222;
0.14400000000000002;0.047;P11047;P35222;
0.196;0.168;P18065;P35222;
0.209;0.192;P21246;P35222;
0.157;0.0814;P22626;P35222;
0.366;0.408;P26583;P35222;
0.353;0.395;P31947;P35222;
0.225;0.221;O00141;Q92597;
0.155;0.0758;P05023;Q92597;
0.154;0.073;P07900;Q92597;
0.155;0.0764;P08473;Q92597;
0.154;0.0752;P12830;Q92597;
0.154;0.0739;P35222;Q92597;
0.145;0.0513;P49703;Q92597;
0.154;0.0732;Q01844;Q92597;
0.149;0.0612;Q12791;Q92597;
0.14300000000000002;0.0459;Q86X19;Q92597;
0.165;0.102;O00141;Q9UI14;
0.145;0.0505;P41220;Q9UI14;
0.364;0.406;P61586;Q9UI14;
0.331;0.369;P63027;Q9UI14;
0.142;0.0439;Q9NPQ8;Q9UI14;
0.145;0.0498;P04196;Q9UI14;
0.364;0.406;P37840;Q9UI14;
0.174;0.122;O00141;Q9Y3S1;
0.151;0.0675;P06241;Q9Y3S1;
0.145;0.0499;O00141;P02788;
0.145;0.0504;O00141;P12273;
1.0;0.0;O00155;O75388;
1.0;0.0;O00155;O95838;
1.0;0.0;O75388;O95838;
1.0;0.0;O95467;O95838;
1.0;0.0;O00155;P07550;
0.155;0.0764;O00264;P07550;
1.0;0.0;O15056;P07550;
0.163;0.0967;O15354;P07550;
1.0;0.0;O43493;P07550;
0.163;0.0961;O60266;P07550;
1.0;0.0;O75388;P07550;
1.0;0.0;O95838;P07550;
1.0;0.0;P01130;P07550;
0.155;0.0765;P01889;P07550;
1.0;0.11199999999999999;P02786;P07550;
1.0;0.0;P04234;P07550;
0.155;0.0764;P04264;P07550;
0.155;0.0777;P04632;P07550;
0.155;0.0759;P05023;P07550;
1.0;0.39799999999999996;O95467;P07550;
1.0;0.0;P01185;P07550;
1.0;0.0;P01189;P07550;
1.0;0.0;P01215;P07550;
1.0;0.0;P01222;P07550;
1.0;0.0;P01225;P07550;
1.0;0.0;P01229;P07550;
1.0;0.0;P01258;P07550;
1.0;0.0;P01270;P07550;
1.0;0.0;P01275;P07550;
1.0;0.0;P01282;P07550;
1.0;0.0;P01286;P07550;
1.0;0.0;P02787;P07550;
1.0;0.0;P04090;P07550;
1.0;0.0;P04114;P07550;
1.0;0.0;P06850;P07550;
1.0;0.0;P06881;P07550;
1.0;0.0;O00155;P08588;
1.0;0.0;O75388;P08588;
1.0;0.0;O95838;P08588;
1.0;0.44299999999999995;P07550;P08588;
1.0;0.0;O95467;P08588;
1.0;0.0;P01185;P08588;
1.0;0.0;P01189;P08588;
1.0;0.0;P01215;P08588;
1.0;0.0;P01222;P08588;
1.0;0.0;P01225;P08588;
1.0;0.0;P01229;P08588;
1.0;0.0;P01258;P08588;
1.0;0.0;P01270;P08588;
1.0;0.0;P01275;P08588;
1.0;0.0;P01282;P08588;
1.0;0.0;P01286;P08588;
1.0;0.0;P04090;P08588;
1.0;0.0;P06850;P08588;
1.0;0.0;P06881;P08588;
1.0;0.0;O00155;P13945;
1.0;0.0;O75388;P13945;
1.0;0.0;O95838;P13945;
1.0;0.0;P07550;P13945;
1.0;0.0;P08588;P13945;
0.361;0.402;P12931;P13945;
1.0;0.0;O95467;P13945;
1.0;0.0;P01185;P13945;
1.0;0.0;P01189;P13945;
1.0;0.0;P01215;P13945;
1.0;0.0;P01222;P13945;
1.0;0.0;P01225;P13945;
1.0;0.0;P01229;P13945;
1.0;0.0;P01258;P13945;
1.0;0.0;P01270;P13945;
1.0;0.0;P01275;P13945;
1.0;0.0;P01282;P13945;
1.0;0.0;P01286;P13945;
1.0;0.0;P04090;P13945;
1.0;0.0;P06850;P13945;
1.0;0.0;P06881;P13945;
1.0;0.0;P09681;P13945;
1.0;0.0;P09683;P13945;
1.0;0.0;P0C0P6;P13945;
1.0;0.0;P10092;P13945;
1.0;0.0;P10997;P13945;
1.0;0.0;P12272;P13945;
1.0;0.0;O00155;P16473;
1.0;0.0;O75388;P16473;
1.0;0.0;O95838;P16473;
1.0;0.0;P05023;P16473;
1.0;0.11900000000000001;P07550;P16473;
1.0;0.0;P08588;P16473;
1.0;0.0;P13945;P16473;
1.0;0.0;O95467;P16473;
1.0;0.0;P01185;P16473;
1.0;0.0;P01189;P16473;
1.0;0.0;P01215;P16473;
1.0;0.0;P01222;P16473;
1.0;0.0;P01225;P16473;
1.0;0.0;P01229;P16473;
1.0;0.0;P01258;P16473;
1.0;0.0;P01270;P16473;
1.0;0.0;P01275;P16473;
1.0;0.0;P01282;P16473;
1.0;0.0;P01286;P16473;
0.239;0.244;P02751;P16473;
1.0;0.0;P04090;P16473;
1.0;0.0;P06850;P16473;
1.0;0.0;P06881;P16473;
1.0;0.0;P09681;P16473;
1.0;0.0;P09683;P16473;
1.0;0.0;P0C0P6;P16473;
1.0;0.0;P10092;P16473;
1.0;0.0;P10997;P16473;
1.0;0.0;P12272;P16473;
1.0;0.0;O00155;P21918;
1.0;0.0;O75388;P21918;
1.0;0.0;O95838;P21918;
1.0;0.0;P07550;P21918;
1.0;0.0;P08588;P21918;
1.0;0.0;P13945;P21918;
1.0;0.0;P16473;P21918;
0.386;0.428;P18507;P21918;
1.0;0.0;O95467;P21918;
1.0;0.0;P01185;P21918;
1.0;0.0;P01189;P21918;
1.0;0.0;P01215;P21918;
1.0;0.0;P01222;P21918;
1.0;0.0;P01225;P21918;
1.0;0.0;P01229;P21918;
1.0;0.0;P01258;P21918;
1.0;0.0;P01270;P21918;
1.0;0.0;P01275;P21918;
1.0;0.0;P01282;P21918;
1.0;0.0;P01286;P21918;
1.0;0.0;P04090;P21918;
1.0;0.0;P06850;P21918;
1.0;0.0;P06881;P21918;
1.0;0.0;P09681;P21918;
1.0;0.0;P09683;P21918;
1.0;0.0;P0C0P6;P21918;
1.0;0.0;P10092;P21918;
1.0;0.0;P10997;P21918;
1.0;0.0;P12272;P21918;
1.0;0.0;P18509;P21918;
1.0;0.0;O00155;P22888;
1.0;0.0;O75388;P22888;
1.0;0.0;O95838;P22888;
1.0;0.0;P07550;P22888;
1.0;0.0;P08588;P22888;
1.0;0.0;P13945;P22888;
1.0;0.0;P16473;P22888;
1.0;0.0;P21918;P22888;
1.0;0.0;O95467;P22888;
1.0;0.0;P01185;P22888;
1.0;0.0;P01189;P22888;
1.0;0.5579999999999999;P01215;P22888;
1.0;0.0;P01222;P22888;
1.0;0.0;P01225;P22888;
1.0;0.0;P01229;P22888;
1.0;0.0;P01258;P22888;
1.0;0.0;P01270;P22888;
1.0;0.0;P01275;P22888;
1.0;0.0;P01282;P22888;
1.0;0.0;P01286;P22888;
1.0;0.0;P04090;P22888;
1.0;0.0;P06850;P22888;
1.0;0.0;P06881;P22888;
1.0;0.0;P09681;P22888;
1.0;0.0;P09683;P22888;
1.0;0.0;P0C0P6;P22888;
1.0;0.0;P10092;P22888;
1.0;0.0;P10997;P22888;
1.0;0.0;P12272;P22888;
1.0;0.0;P18509;P22888;
1.0;0.0;O00155;P23945;
1.0;0.0;O75388;P23945;
1.0;0.0;O95838;P23945;
1.0;0.0;P07550;P23945;
1.0;0.0;P08588;P23945;
1.0;0.0;P13945;P23945;
1.0;0.0;P16473;P23945;
1.0;0.0;P21918;P23945;
1.0;0.0;P22888;P23945;
1.0;0.0;O95467;P23945;
1.0;0.0;P01185;P23945;
1.0;0.0;P01189;P23945;
1.0;0.6559999999999999;P01215;P23945;
1.0;0.0;P01222;P23945;
1.0;0.682;P01225;P23945;
1.0;0.0;P01229;P23945;
1.0;0.0;P01258;P23945;
1.0;0.0;P01270;P23945;
1.0;0.0;P01275;P23945;
1.0;0.0;P01282;P23945;
1.0;0.0;P01286;P23945;
1.0;0.0;P04090;P23945;
1.0;0.0;P06850;P23945;
1.0;0.0;P06881;P23945;
1.0;0.0;P09681;P23945;
1.0;0.0;P09683;P23945;
1.0;0.0;P0C0P6;P23945;
1.0;0.0;P10092;P23945;
1.0;0.0;P10997;P23945;
1.0;0.0;P12272;P23945;
1.0;0.0;P18509;P23945;
1.0;0.0;O00155;P25021;
1.0;0.0;O75388;P25021;
1.0;0.0;O95838;P25021;
1.0;0.0;P07550;P25021;
1.0;0.0;P08588;P25021;
1.0;0.0;P13945;P25021;
1.0;0.0;P16473;P25021;
1.0;0.0;P21918;P25021;
1.0;0.0;P22888;P25021;
1.0;0.0;P23945;P25021;
1.0;0.0;O95467;P25021;
1.0;0.0;P01185;P25021;
1.0;0.0;P01189;P25021;
1.0;0.0;P01215;P25021;
1.0;0.0;P01222;P25021;
1.0;0.0;P01225;P25021;
1.0;0.0;P01229;P25021;
1.0;0.0;P01258;P25021;
1.0;0.0;P01270;P25021;
1.0;0.0;P01275;P25021;
1.0;0.0;P01282;P25021;
1.0;0.0;P01286;P25021;
1.0;0.0;P04090;P25021;
1.0;0.0;P06850;P25021;
1.0;0.0;P06881;P25021;
1.0;0.0;P09681;P25021;
1.0;0.0;P09683;P25021;
1.0;0.0;P0C0P6;P25021;
1.0;0.0;P10092;P25021;
1.0;0.0;P10997;P25021;
1.0;0.0;P12272;P25021;
1.0;0.0;P18509;P25021;
1.0;0.0;O00155;P29274;
1.0;0.0;O75388;P29274;
1.0;0.0;O95838;P29274;
1.0;0.0;P04629;P29274;
1.0;0.0;P07550;P29274;
1.0;0.0;P08588;P29274;
0.17800000000000002;0.129;P12814;P29274;
1.0;0.0;P13945;P29274;
1.0;0.0;P16473;P29274;
1.0;0.0;P21918;P29274;
1.0;0.0;P22888;P29274;
1.0;0.0;P23945;P29274;
1.0;0.0;P25021;P29274;
1.0;0.0;O95467;P29274;
1.0;0.0;P01185;P29274;
1.0;0.0;P01189;P29274;
1.0;0.0;P01215;P29274;
1.0;0.0;P01222;P29274;
1.0;0.0;P01225;P29274;
1.0;0.0;P01229;P29274;
1.0;0.0;P01258;P29274;
1.0;0.0;P01270;P29274;
1.0;0.0;P01275;P29274;
1.0;0.0;P01282;P29274;
1.0;0.0;P01286;P29274;
1.0;0.0;P04090;P29274;
1.0;0.0;P06850;P29274;
1.0;0.0;P06881;P29274;
1.0;0.0;P09681;P29274;
1.0;0.0;P09683;P29274;
1.0;0.0;P0C0P6;P29274;
1.0;0.0;P10092;P29274;
1.0;0.0;P10997;P29274;
1.0;0.0;P12272;P29274;
1.0;0.0;P18509;P29274;
1.0;0.0;O00155;P29275;
1.0;0.0;O75388;P29275;
1.0;0.0;O95838;P29275;
1.0;0.0;P07550;P29275;
1.0;0.0;P08588;P29275;
1.0;0.0;P13945;P29275;
1.0;0.0;P16473;P29275;
1.0;0.0;P21918;P29275;
1.0;0.0;P22888;P29275;
1.0;0.0;P23945;P29275;
1.0;0.0;P25021;P29275;
1.0;0.0;P29274;P29275;
1.0;0.0;O95467;P29275;
1.0;0.0;P01185;P29275;
1.0;0.0;P01189;P29275;
1.0;0.0;P01215;P29275;
1.0;0.0;P01222;P29275;
1.0;0.0;P01225;P29275;
1.0;0.0;P01229;P29275;
1.0;0.0;P01258;P29275;
1.0;0.0;P01270;P29275;
1.0;0.0;P01275;P29275;
1.0;0.0;P01282;P29275;
1.0;0.0;P01286;P29275;
1.0;0.0;P04090;P29275;
1.0;0.0;P06850;P29275;
1.0;0.0;P06881;P29275;
1.0;0.0;P09681;P29275;
1.0;0.0;P09683;P29275;
1.0;0.0;P0C0P6;P29275;
1.0;0.0;P10092;P29275;
1.0;0.0;P10997;P29275;
1.0;0.0;P12272;P29275;
1.0;0.0;P18509;P29275;
1.0;0.0;O00155;P30518;
1.0;0.0;O15056;P30518;
1.0;0.0;O43493;P30518;
1.0;0.0;O75388;P30518;
1.0;0.0;O95838;P30518;
1.0;0.0;P01130;P30518;
1.0;0.0;P02786;P30518;
1.0;0.0;P04234;P30518;
1.0;0.0;P07550;P30518;
1.0;0.0;P08172;P30518;
1.0;0.0;P08588;P30518;
1.0;0.0;P11142;P30518;
1.0;0.0;P11717;P30518;
1.0;0.0;P13569;P30518;
1.0;0.0;P13945;P30518;
1.0;0.0;P16473;P30518;
1.0;0.0;P20645;P30518;
1.0;0.0;P21918;P30518;
1.0;0.0;P22681;P30518;
1.0;0.0;P22888;P30518;
1.0;0.0;P23945;P30518;
1.0;0.0;P25021;P30518;
