id,name,receptor,receptor_highlight,receptor_desc,adhesion,other,other_desc,transporter,secreted_highlight,secreted_desc
3519,P10599,False,False,,False,False,,False,False,
3520,Q9P2K2,False,False,,False,False,,False,False,
3521,Q8WVF2,False,False,,False,False,,False,False,
3522,Q6UXV3,False,False,,False,False,,False,False,
3523,Q7L8A9,False,False,,False,False,,False,False,
3524,Q86V25,False,False,,False,False,,False,False,
3525,Q6EMK4,False,False,,False,False,,False,False,
3526,P13611,False,False,,False,False,,False,False,
3527,Q6UXI7,False,False,,False,False,,False,False,
3528,Q7Z5L0,False,False,,False,False,,False,False,
3529,Q8TAG5,False,False,,False,False,,False,False,
3530,P04004,False,False,,True,False,,False,False,
3531,Q6PCB0,False,False,,False,False,,False,False,
3532,Q5GFL6,False,False,,False,False,,False,False,
3533,A6NCI4,False,False,,False,False,,False,False,
3534,Q5TIE3,False,False,,False,False,,False,False,
3535,Q9Y334,False,False,,False,False,,False,False,
3536,A3KMH1,False,False,,False,False,,False,False,
3537,Q2TAL6,False,False,,False,False,,False,False,
3538,B2RUY7,False,False,,False,False,,False,False,
3539,Q96DN2,False,False,,False,False,,False,False,
3540,Q8N2E2,False,False,,False,False,,False,False,
3541,P04275,False,False,,True,False,,False,False,
3542,Q9HC57,False,False,,False,False,,False,False,
3543,Q9H1F0,False,False,,False,False,,False,False,
3544,Q8IUB3,False,False,,False,False,,False,False,
3545,Q8NEX6,False,False,,False,False,,False,False,
3546,Q8WWY7,False,False,,False,False,,False,False,
3547,Q8IUB5,False,False,,False,False,,False,False,
3548,Q14508,False,False,,False,False,,False,False,
3549,Q8IUB2,False,False,,False,False,,False,False,
3550,Q8TCV5,False,False,,False,False,,False,False,
3551,Q9BQY6,False,False,,False,False,,False,False,
3552,Q8IUA0,False,False,,False,False,,False,False,
3553,Q8NEX5,False,False,,False,False,,False,False,
3554,Q96NZ8,False,False,,False,False,,False,False,
3555,Q8TEU8,False,False,,False,False,,False,False,
3556,Q9Y5W5,False,False,,False,False,,False,False,
3557,O95388,False,False,,True,False,,False,False,
3558,O76076,False,False,,True,False,,False,False,
3559,P04628,False,False,,False,False,,False,False,
3560,Q9GZT5,False,False,,False,False,,False,False,
3561,O00744,False,False,,False,False,,False,False,
3562,O96014,False,False,,False,False,,False,False,
3563,Q9UBV4,False,False,,False,False,,False,False,
3564,P09544,False,False,,False,False,,False,False,
3565,Q93097,False,False,,False,False,,False,False,
3566,P56703,False,False,,False,False,,False,False,
3567,P56704,False,False,,False,False,,False,False,
3568,P56705,False,False,,False,False,,False,False,
3569,P41221,False,False,,False,False,,False,False,
3570,Q9H1J7,False,False,,False,False,,False,False,
3571,Q9Y6F9,False,False,,False,False,,False,False,
3572,O00755,False,False,,False,False,,False,False,
3573,P56706,False,False,,False,False,,False,False,
3574,Q9H1J5,False,False,,False,False,,False,False,
3575,Q93098,False,False,,False,False,,False,False,
3576,O14904,False,False,,False,False,,False,False,
3577,O14905,False,False,,False,False,,False,False,
3578,P47989,False,False,,False,False,,False,False,
3579,Q86Y38,False,False,,False,False,,False,False,
3580,P67809,False,False,,False,False,,False,False,
3581,O60844,False,False,,False,False,,False,False,
3582,Q96DA0,False,False,,False,False,,False,False,
3583,Q9BS86,False,False,,False,False,,False,False,
